Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2020-07-06,1805.0,1858.0,1792.099976,1851.800049,1845.862061,21697962.0,1805.0,1858.0,1792.099976,1851.800049,1845.862061,21697962.0
2020-07-07,1860.0,1864.349976,1806.300049,1823.449951,1817.602905,16239990.0,1832.5,1861.174988,1799.2000125,1837.625,1831.732483,18968976.0
2020-07-08,1824.050049,1834.949951,1790.0,1798.0,1792.234497,12093186.0,1829.6833496666666,1852.433309,1796.1333416666666,1824.4166666666667,1818.5664876666667,16677046.0
2020-07-09,1809.0,1835.0,1786.25,1824.25,1818.400391,16807336.0,1824.5125122499999,1848.07498175,1793.66250625,1824.375,1818.5249635,16709618.5
2020-07-10,1828.5,1884.599976,1824.25,1878.050049,1872.027832,20195218.0,1825.3100098,1855.3799806,1799.7800049999998,1835.1100098,1829.2255372,17406738.4
2020-07-13,1903.349976,1947.699951,1900.0,1935.0,1928.795166,32124262.0,1838.316670833333,1870.7666423333333,1816.4833374999998,1851.7583415,1845.8204753333332,19859659.0
2020-07-14,1934.0,1941.699951,1887.300049,1917.0,1910.852905,31073305.0,1851.9857178571426,1880.8999721428572,1826.6000105714286,1861.0785784285713,1855.1108224285713,21461608.42857143
2020-07-15,1937.949951,1978.800049,1798.0,1844.0,1838.087036,64457578.0,1862.731247,1893.13748175,1823.02500925,1858.943756125,1852.982849125,26836104.625
2020-07-16,1847.0,1869.0,1812.449951,1843.400024,1837.489014,28133826.0,1860.983330666667,1890.4555393333333,1821.8500027777777,1857.2166747777778,1851.2613118888887,26980295.888888888
2020-07-17,1845.0,1920.0,1838.0,1911.699951,1905.569824,22948894.0,1859.3849976000001,1893.4099854,1823.4650024999999,1862.6650023999998,1856.6921631,26577155.7
2020-07-20,1917.800049,1932.0,1899.650024,1919.900024,1913.743652,16887635.0,1870.6650025,1900.8099854,1834.2200073,1869.4749999,1863.4803221999998,26096123.0
2020-07-21,1939.0,1977.0,1936.5,1971.550049,1965.228027,19463004.0,1878.5650025,1912.0749878,1847.2400024000003,1884.2850096999998,1878.2428344,26418424.4
2020-07-22,1983.0,2010.0,1960.699951,2004.0,1997.573975,27584518.0,1894.4599975999997,1929.5799927,1864.3099975,1904.8850097,1898.7767821999998,27967557.6
2020-07-23,2003.949951,2079.699951,1991.349976,2057.800049,2051.201416,26921017.0,1913.9549927,1954.0499877999998,1884.8199951000001,1928.2400146,1922.0568847,28978925.7
2020-07-24,2058.0,2163.0,2057.800049,2146.149902,2139.268066,55655668.0,1936.9049927,1981.8899901999998,1908.175,1955.0499998999999,1948.7809081,32524970.7
2020-07-27,2178.800049,2198.800049,2127.899902,2156.199951,2149.285889,37060665.0,1964.45,2007.0,1930.9649902,1977.1699949999997,1970.8299804000003,33018611.0
2020-07-28,2156.199951,2194.0,2150.649902,2177.699951,2170.716797,25435297.0,1986.6699951000003,2032.2300049,1957.2999755,2003.2399900999997,1996.8163696,32454810.2
2020-07-29,2177.899902,2182.800049,2070.449951,2096.649902,2089.926758,33534147.0,2010.6649901999997,2052.6300049,1984.5449706,2028.5049802999997,2022.0003418000001,29362467.1
2020-07-30,2099.0,2139.699951,2072.0,2108.850098,2102.087891,33623699.0,2035.8649901999997,2079.7,2010.4999755000001,2055.0499877,2048.4602295,29911454.4
2020-07-31,2114.5,2129.0,2052.800049,2067.100098,2060.47168,34593133.0,2062.8149901999996,2100.6,2031.9799804000002,2070.5900024000002,2063.9504151,31075878.3
2020-08-03,2051.300049,2057.0,2003.099976,2009.0,2002.557861,21559142.0,2076.1649902,2113.1,2042.3249755999998,2079.5,2072.8318360000003,31543029.0
2020-08-04,2020.599976,2167.0,2000.25,2150.600098,2143.703857,42476932.0,2084.3249878,2132.1,2048.6999755999996,2097.4050049,2090.679419,33844421.8
2020-08-05,2169.0,2196.0,2118.300049,2126.449951,2119.631348,34404810.0,2102.9249878,2150.7,2064.4599854,2109.65,2102.8851563,34526451.0
2020-08-06,2157.0,2167.699951,2107.800049,2134.100098,2127.256836,22762545.0,2118.2299927,2159.5,2076.1049927,2117.2800049,2110.4906983,34110603.8
2020-08-07,2129.800049,2157.800049,2120.199951,2146.449951,2139.567139,15222303.0,2125.4099975999998,2158.9800049,2082.3449829,2117.3100098,2110.5206056,30067267.3
2020-08-10,2159.100098,2165.0,2108.100098,2119.850098,2113.05249,12441573.0,2123.4400025000004,2155.6,2080.3650024999997,2113.6750245,2106.8972657000004,27605358.1
2020-08-11,2134.800049,2160.0,2100.350098,2133.800049,2126.957764,21611256.0,2121.3000122999997,2152.2,2075.3350221,2109.2850343,2102.5213624,27222954.0
2020-08-12,2121.0,2145.0,2106.800049,2127.600098,2120.777832,13967116.0,2115.6100221,2148.4199951,2078.9700319,2112.3800539,2105.6064698,25266250.9
2020-08-13,2128.0,2138.899902,2110.0,2122.050049,2115.245361,11459190.0,2118.5100221000002,2148.3399902,2082.7700319,2113.700049,2106.9222168,23049800.0
2020-08-14,2122.550049,2157.0,2089.25,2113.800049,2107.021973,15333164.0,2119.315027,2151.1399902000003,2086.415027,2118.3700440999996,2111.5772460999997,21123803.1
2020-08-17,2105.0,2105.0,2070.100098,2091.350098,2084.644043,14296834.0,2124.6850221,2155.9399902,2093.1150392,2126.6050539,2119.7858643,20397572.3
2020-08-18,2085.0,2134.300049,2082.350098,2118.550049,2111.756592,14097746.0,2131.1250245,2152.6699951,2101.325049,2123.400049,2116.5911378,17559653.7
2020-08-19,2141.0,2154.0,2121.350098,2131.550049,2124.715088,15731396.0,2128.3250245,2148.4699951,2101.6300539,2123.9100588,2117.0995118,15692312.3
2020-08-20,2120.0,2123.899902,2088.0,2097.050049,2090.325684,10401212.0,2124.6250245,2144.0899902,2099.650049,2120.2050538999997,2113.4063966000003,14456179.0
